RegionID,RegionName,City,CountyName,Price
71033,30313,Atlanta,Fulton County,153275.1507
71034,30314,Atlanta,Fulton County,36025.20939
71035,30315,Atlanta,Fulton County,61368.07934
71036,30316,Atlanta,Dekalb County,158392.7935
71037,30317,Atlanta,Dekalb County,227866.916
71038,30318,Atlanta,Fulton County,137134.8801
71039,30319,Brookhaven,Dekalb County,400865.5834
71043,30324,Atlanta,Fulton County,283856.4071
71045,30326,Atlanta,Fulton County,286973.5594
71046,30327,Atlanta,Fulton County,789996.6301
71047,30328,Sandy Springs,Fulton County,303891.5247
71048,30329,Atlanta,Dekalb County,275052.1786
71055,30337,College Park,Fulton County,108040.0011
71056,30338,Dunwoody,Dekalb County,385569.0359
71057,30339,Vinings,Cobb County,263909.1957
71058,30340,Atlanta,Dekalb County,147327.5423
71059,30341,Chamblee,Dekalb County,226414.3969
71060,30342,Sandy Springs,Fulton County,459947.9849
71062,30344,East Point,Fulton County,59307.65002
71063,30345,Atlanta,Dekalb County,339959.4016
71064,30346,Dunwoody,Dekalb County,259978.8727
71070,30354,Atlanta,Fulton County,57348.79707
71076,30360,Dunwoody,Dekalb County,210979.4523
71079,30363,Atlanta,Fulton County,185316.8521
71023,30303,Atlanta,Fulton County,95135.59935
71025,30305,Atlanta,Fulton County,419446.1211
71026,30306,Atlanta,Fulton County,477246.7816
71027,30307,Atlanta,Dekalb County,393879.2901
71028,30308,Atlanta,Fulton County,196630.7483
71029,30309,Atlanta,Fulton County,252221.3067
71030,30310,Atlanta,Fulton County,46740.42267
71031,30311,Atlanta,Fulton County,58192.17627
71032,30312,Atlanta,Fulton County,198165.9742
71033,30313,Atlanta,Fulton County,155787.7917
71034,30314,Atlanta,Fulton County,36476.99601
71035,30315,Atlanta,Fulton County,62241.52469
71036,30316,Atlanta,Dekalb County,159704.5029
71037,30317,Atlanta,Dekalb County,229327.4003
71038,30318,Atlanta,Fulton County,139088.6181
71039,30319,Brookhaven,Dekalb County,406019.351
71043,30324,Atlanta,Fulton County,287144.4243
71045,30326,Atlanta,Fulton County,292745.734
71046,30327,Atlanta,Fulton County,795327.7191
71047,30328,Sandy Springs,Fulton County,306369.892
71048,30329,Atlanta,Dekalb County,278279.682
71055,30337,College Park,Fulton County,108478.812
71056,30338,Dunwoody,Dekalb County,388990.5406
71057,30339,Vinings,Cobb County,266471.7398
71058,30340,Atlanta,Dekalb County,149436.2277
71059,30341,Chamblee,Dekalb County,229067.4787
71060,30342,Sandy Springs,Fulton County,464194.2594
71062,30344,East Point,Fulton County,59833.61712
71063,30345,Atlanta,Dekalb County,343688.4326
71064,30346,Dunwoody,Dekalb County,265049.5162
71070,30354,Atlanta,Fulton County,58505.584
71076,30360,Dunwoody,Dekalb County,213052.3207
71079,30363,Atlanta,Fulton County,188158.2352
71023,30303,Atlanta,Fulton County,97976.70848
71025,30305,Atlanta,Fulton County,424208.07
71026,30306,Atlanta,Fulton County,482213.1047
71027,30307,Atlanta,Dekalb County,398065.6218
71028,30308,Atlanta,Fulton County,199539.1072
71029,30309,Atlanta,Fulton County,255599.224
71030,30310,Atlanta,Fulton County,48109.42295
71031,30311,Atlanta,Fulton County,59186.06218
71032,30312,Atlanta,Fulton County,201345.8535
71033,30313,Atlanta,Fulton County,158335.2354
71034,30314,Atlanta,Fulton County,37058.82242
71035,30315,Atlanta,Fulton County,63446.06209
71036,30316,Atlanta,Dekalb County,161597.1335
71037,30317,Atlanta,Dekalb County,231292.6191
71038,30318,Atlanta,Fulton County,140953.4978
71039,30319,Brookhaven,Dekalb County,411012.6108
71043,30324,Atlanta,Fulton County,290889.4565
71045,30326,Atlanta,Fulton County,298627.8449
71046,30327,Atlanta,Fulton County,802365.4379
71047,30328,Sandy Springs,Fulton County,309149.1947
71048,30329,Atlanta,Dekalb County,281444.5657
71055,30337,College Park,Fulton County,109610.3625
71056,30338,Dunwoody,Dekalb County,392403.0661
71057,30339,Vinings,Cobb County,269072.4125
71058,30340,Atlanta,Dekalb County,152062.8898
71059,30341,Chamblee,Dekalb County,232160.7328
71060,30342,Sandy Springs,Fulton County,468414.7381
71062,30344,East Point,Fulton County,61041.20172
71063,30345,Atlanta,Dekalb County,347128.7225
71064,30346,Dunwoody,Dekalb County,269357.3297
71070,30354,Atlanta,Fulton County,59881.61389
71076,30360,Dunwoody,Dekalb County,214927.4558
71079,30363,Atlanta,Fulton County,190915.5282
71023,30303,Atlanta,Fulton County,100556.6162
71025,30305,Atlanta,Fulton County,428524.411
71026,30306,Atlanta,Fulton County,486267.2106
71027,30307,Atlanta,Dekalb County,401289.2471
71028,30308,Atlanta,Fulton County,202514.69
71029,30309,Atlanta,Fulton County,258170.4736
71030,30310,Atlanta,Fulton County,49567.05421
71031,30311,Atlanta,Fulton County,60395.13207
71032,30312,Atlanta,Fulton County,203758.7914
71033,30313,Atlanta,Fulton County,161399.4372
71034,30314,Atlanta,Fulton County,37433.32954
71035,30315,Atlanta,Fulton County,64263.7947
71036,30316,Atlanta,Dekalb County,163573.9882
71037,30317,Atlanta,Dekalb County,233076.2274
