zipcode,crime_count
30318,3038
30315,1731
30310,1622
30312,1339
30309,1322
30331,1303
30308,1222
30311,1179
30314,1078
30303,1070
30324,1056
30316,800
30307,714
30326,680
30305,677
30306,616
30313,513
30354,457
30317,321
30337,304
30327,148
30342,132
30363,111
30320,56
30319,48
30344,9
30336,6
30032,6
31126,4
30361,1
30380,1
30329,1
